siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 18:00",13
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 18:00",1
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 18:00",0.2
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 18:00",31
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 18:00",33
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 19:00",1.1
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 19:00",13
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 19:00",10
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 19:00",39
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 19:00",28
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 19:00",0.22
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 20:00",1.1
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 20:00",9
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 20:00",10
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 20:00",32
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 20:00",28
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 20:00",0.24
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 21:00",21
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 21:00",1
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 21:00",8
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 21:00",9
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 21:00",0.2
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 21:00",29
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 22:00",8
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 22:00",22
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 22:00",31
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 22:00",0.19
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 22:00",1.1
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 22:00",6
